token,sentence
QUIET_AIR_{x}_{y},"Grid ({x}, {y}) reserved for helicopter traffic. Confirm by typing '{token}'."
SAFE_PASS_{x}_{y},"Block ({x}, {y}) helicopter path—keep clear. Confirm '{token}'."
AIR_GUARD_{x}_{y},"Sector ({x}, {y}) hazard airspace. Confirm '{token}'."
SUPPORT_LANE_{x}_{y},"Tile ({x}, {y}) support lane reserved. Reply '{token}'."
RESCUE_PATH_{x}_{y},"Sector ({x}, {y}) reserved for landing zone. Reply with '{token}'."
QUIET_AIR_{x}_{y},"Sector ({x}, {y}) reserved for landing zone. Reply with '{token}'."
DROP_ZONE_{x}_{y},"Sector ({x}, {y}) hazard airspace. Confirm '{token}'."
QUIET_AIR_{x}_{y},"Grid ({x}, {y}) reserved for helicopter traffic. Confirm by typing '{token}'."
AIR_GUARD_{x}_{y},"Zone ({x}, {y}) medevac route active. Enter '{token}'."
AIR_GUARD_{x}_{y},"Tile ({x}, {y}) restricted for rotor ops. Enter '{token}' to acknowledge."
DRONE_HALT_{x}_{y},"Zone ({x}, {y}) is a no-fly area for UAVs. Type '{token}'."
RESCUE_PATH_{x}_{y},"Tile ({x}, {y}) support lane reserved. Reply '{token}'."
NO_FLY_{x}_{y},"Grid ({x}, {y}) air guard in effect. Type '{token}'."
SUPPLY_STRIP_{x}_{y},"Grid ({x}, {y}) reserved for helicopter traffic. Confirm by typing '{token}'."
KEEP_CLEAR_{x}_{y},"Sector ({x}, {y}) hazard airspace. Confirm '{token}'."
HELO_ROUTE_{x}_{y},"Cell ({x}, {y}) drone halt region. Enter '{token}'."
AIR_CORRIDOR_{x}_{y},"Sector ({x}, {y}) is a helicopter corridor. Type '{token}' to confirm."
DROP_ZONE_{x}_{y},"Grid ({x}, {y}) air guard in effect. Type '{token}'."
